name,nombre_oficial,clean_category,domain,n_utopias_with_category,rarity_score,infra_score,distinctiveness_weight
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Multi-Sports Court,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Dental Services,Wellness & Therapy,1,0.9230769230769231,1,0.9230769230769231
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Early Stimulation & Speech Therapy,Wellness & Therapy,2,0.8461538461538461,1,0.8461538461538461
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Gynecology Services,Wellness & Therapy,1,0.9230769230769231,1,0.9230769230769231
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Hydrotherapy Pool,Wellness & Therapy,3,0.7692307692307692,2,1.5384615384615383
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Nutrition Services,Wellness & Therapy,1,0.9230769230769231,1,0.9230769230769231
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Psychological Services,Wellness & Therapy,1,0.9230769230769231,1,0.9230769230769231
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Rehabilitation Center,Wellness & Therapy,5,0.6153846153846154,2,1.2307692307692308
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Spa,Wellness & Therapy,1,0.9230769230769231,2,1.8461538461538463
ixtapalcalli,Utopia Ixtapalcalli Quetzalcoatl,Temazcal,Wellness & Therapy,3,0.7692307692307692,2,1.5384615384615383
la_cascada,Utopia La Cascada Xicohtencatl,Swimming Classes,Aquatics,10,0.23076923076923073,1,0.23076923076923073
la_cascada,Utopia La Cascada Xicohtencatl,Swimming Pool,Aquatics,10,0.23076923076923073,2,0.46153846153846145
la_cascada,Utopia La Cascada Xicohtencatl,Boxing Gym / School,Combat & Extreme Sports,7,0.46153846153846156,2,0.9230769230769231
la_cascada,Utopia La Cascada Xicohtencatl,Children's Play Area,General Recreation,6,0.5384615384615384,1,0.5384615384615384
la_cascada,Utopia La Cascada Xicohtencatl,Green Areas / Urban Park,General Recreation,4,0.6923076923076923,1,0.6923076923076923
la_cascada,Utopia La Cascada Xicohtencatl,Dance School,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
la_cascada,Utopia La Cascada Xicohtencatl,Music School,Performing Arts & Culture,6,0.5384615384615384,2,1.0769230769230769
la_cascada,Utopia La Cascada Xicohtencatl,Open-Air Stage,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
la_cascada,Utopia La Cascada Xicohtencatl,Women's Support Center,Social Services,4,0.6923076923076923,1,0.6923076923076923
la_cascada,Utopia La Cascada Xicohtencatl,Multi-Sports Court,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
la_cascada,Utopia La Cascada Xicohtencatl,Running Track,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
la_cascada,Utopia La Cascada Xicohtencatl,Soccer Fields,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
la_cascada,Utopia La Cascada Xicohtencatl,Addiction Treatment,Wellness & Therapy,2,0.8461538461538461,1,0.8461538461538461
la_cascada,Utopia La Cascada Xicohtencatl,Rehabilitation Center,Wellness & Therapy,5,0.6153846153846154,2,1.2307692307692308
libertad,Utopía Libertad,Swimming Classes,Aquatics,10,0.23076923076923073,1,0.23076923076923073
libertad,Utopía Libertad,Swimming Pool,Aquatics,10,0.23076923076923073,2,0.46153846153846145
libertad,Utopía Libertad,Children's Play Area,General Recreation,6,0.5384615384615384,1,0.5384615384615384
libertad,Utopía Libertad,Dog Park,General Recreation,2,0.8461538461538461,1,0.8461538461538461
libertad,Utopía Libertad,Observatory,Landmark Attraction,1,0.9230769230769231,3,2.769230769230769
libertad,Utopía Libertad,Planetarium,Landmark Attraction,1,0.9230769230769231,3,2.769230769230769
libertad,Utopía Libertad,Axolotl Sanctuary,Nature & Biodiversity,1,0.9230769230769231,3,2.769230769230769
libertad,Utopía Libertad,Butterfly House,Nature & Biodiversity,2,0.8461538461538461,2,1.6923076923076923
libertad,Utopía Libertad,Chinampa,Nature & Biodiversity,1,0.9230769230769231,2,1.8461538461538463
libertad,Utopía Libertad,Interactive Farm,Nature & Biodiversity,1,0.9230769230769231,2,1.8461538461538463
libertad,Utopía Libertad,Turtle Sanctuary,Nature & Biodiversity,1,0.9230769230769231,2,1.8461538461538463
libertad,Utopía Libertad,Urban / Sustainable Garden,Nature & Biodiversity,2,0.8461538461538461,1,0.8461538461538461
libertad,Utopía Libertad,Auditorium,Performing Arts & Culture,8,0.3846153846153846,2,0.7692307692307692
libertad,Utopía Libertad,Tennis & Mini-Golf Courts,Racquet & Court Sports,1,0.9230769230769231,2,1.8461538461538463
libertad,Utopía Libertad,Multi-Sports Court,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
libertad,Utopía Libertad,Soccer Fields,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
libertad,Utopía Libertad,Addiction Treatment,Wellness & Therapy,2,0.8461538461538461,1,0.8461538461538461
libertad,Utopía Libertad,Healthy Kitchen / Nutrition,Wellness & Therapy,1,0.9230769230769231,1,0.9230769230769231
libertad,Utopía Libertad,Hydrotherapy Pool,Wellness & Therapy,3,0.7692307692307692,2,1.5384615384615383
libertad,Utopía Libertad,Massage Therapy,Wellness & Therapy,1,0.9230769230769231,1,0.9230769230769231
libertad,Utopía Libertad,Rehabilitation Center,Wellness & Therapy,5,0.6153846153846154,2,1.2307692307692308
libertad,Utopía Libertad,Relaxation Therapy,Wellness & Therapy,2,0.8461538461538461,1,0.8461538461538461
libertad,Utopía Libertad,Temazcal,Wellness & Therapy,3,0.7692307692307692,2,1.5384615384615383
libertad,Utopía Libertad,Yoga,Wellness & Therapy,5,0.6153846153846154,1,0.6153846153846154
meyehualco,Utopia Meyehualco,Swimming Classes,Aquatics,10,0.23076923076923073,1,0.23076923076923073
meyehualco,Utopia Meyehualco,Swimming Pool,Aquatics,10,0.23076923076923073,2,0.46153846153846145
meyehualco,Utopia Meyehualco,Martial Arts,Combat & Extreme Sports,2,0.8461538461538461,1,0.8461538461538461
meyehualco,Utopia Meyehualco,Exhibition Access,Education & Technology,1,0.9230769230769231,1,0.9230769230769231
meyehualco,Utopia Meyehualco,Guided Athletic Training,Fitness,3,0.7692307692307692,1,0.7692307692307692
meyehualco,Utopia Meyehualco,Indoor Multi-Floor Gym,Fitness,2,0.8461538461538461,2,1.6923076923076923
meyehualco,Utopia Meyehualco,Dinosaur Theme Park,Landmark Attraction,1,0.9230769230769231,3,2.769230769230769
meyehualco,Utopia Meyehualco,Artificial Lake,Nature & Biodiversity,3,0.7692307692307692,2,1.5384615384615383
meyehualco,Utopia Meyehualco,Auditorium,Performing Arts & Culture,8,0.3846153846153846,2,0.7692307692307692
meyehualco,Utopia Meyehualco,Film School / Cinema Space,Performing Arts & Culture,2,0.8461538461538461,2,1.6923076923076923
meyehualco,Utopia Meyehualco,Music School,Performing Arts & Culture,6,0.5384615384615384,2,1.0769230769230769
meyehualco,Utopia Meyehualco,Open-Air Stage,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
meyehualco,Utopia Meyehualco,Women's Support Center,Social Services,4,0.6923076923076923,1,0.6923076923076923
meyehualco,Utopia Meyehualco,Athletics Track (400 m),Team Sports & Athletics,1,0.9230769230769231,2,1.8461538461538463
meyehualco,Utopia Meyehualco,Basketball Court,Team Sports & Athletics,3,0.7692307692307692,1,0.7692307692307692
meyehualco,Utopia Meyehualco,Soccer Fields,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
